_3FGL,Na,RAJ2000,DEJ2000,amaj,amin,phi,Sig,F35,S25,Gamma,Mod,Var,Flag,Assoc,TeV,Class,ID,Simbad,File,LC,F1,E_F1,F2,E_F2,F3,E_F3,F4,E_F4,F5,E_F5,Source,TYPE,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,RA_d,DEC_d,SCRIPT_NUMBER_ID,Ang_Sep,Var_1,LL,VHE,SpCl,SEDCl,z,alpha,e_alpha,Var_2,F2_F1,F4_F3
J0258.2+3555,1,44.558,35.929,0.257,0.214,-54,4.4,0.3,4.4,2.61,PL,,4,,,,,Simbad,J0258.2p3555,LC,0.94,0.33,0.10,0.05,0.23,0.10,0.00,0.25,0.17,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.00
J0258.9+0552,1,44.740,5.876,0.092,0.079,-78,8.0,0.6,6.8,2.12,PL,,,,,,,Simbad,J0258.9p0552,LC,0.43,0.41,0.14,0.07,0.50,0.13,1.51,0.44,0.25,0.21,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,3.02
J0259.5+0746,2,44.878,7.777,0.067,0.063,-8,11.0,0.9,10.6,2.21,PL,T,,2FGL J0259.5+0740,,fsrq,PKS 0256+075,Simbad,J0259.5p0746,LC,1.20,0.40,0.33,0.07,0.66,0.14,2.27,0.54,0.15,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,3.44
J0301.4-1652,1,45.371,-16.869,0.135,0.118,-19,5.2,0.3,3.6,2.15,PL,,,,,bcu,PMN J0301-1652,Simbad,J0301.4-1652,LC,0.00,0.18,0.12,0.04,0.31,0.10,0.66,0.33,0.09,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13
J0301.8-2721,1,45.472,-27.361,0.141,0.109,50,4.3,0.2,2.4,2.16,PL,,,,,bcu,NVSS J030158-272754,Simbad,J0301.8-2721,LC,0.02,0.25,0.05,0.03,0.24,0.08,0.36,0.28,0.09,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,1.50
J0301.8-7157,1,45.461,-71.952,0.121,0.103,78,10.4,0.3,7.2,2.77,PL,T,,,,bcu,PKS 0301-721,Simbad,J0301.8-7157,LC,1.38,0.26,0.23,0.04,0.35,0.09,0.41,0.25,0.00,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,1.17
J0302.0+5335,1,45.522,53.598,0.084,0.068,-58,5.5,0.5,6.9,2.38,PL,,4,,,bcu,GB6 J0302+5331,Simbad,J0302.0p5335,LC,0.63,0.45,0.34,0.09,0.52,0.16,0.53,0.39,0.25,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,1.02
J0302.5-7915,1,45.645,-79.254,0.105,0.095,35,8.0,0.4,6.5,2.51,PL,T,,2FGL J0302.7-7919,,fsrq,PMN J0303-7914,Simbad,J0302.5-7915,LC,0.83,0.32,0.21,0.05,0.28,0.10,1.21,0.39,0.08,0.21,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4.32
J0303.0+3150,1,45.754,31.835,0.187,0.162,57,4.2,0.3,4.2,2.31,PL,,,,,bcu,B2 0259+31,Simbad,J0303.0p3150,LC,0.34,0.30,0.14,0.06,0.28,0.12,1.18,0.43,0.00,0.11,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,4.21
J0303.4-2407,4,45.871,-24.123,0.015,0.014,12,63.6,5.7,65.9,1.92,PL,T,,1FHL J0303.4-2407,P,BLL,PKS 0301-243,Simbad,J0303.4-2407,LC,2.67,0.26,1.21,0.06,3.78,0.20,14.71,1.10,5.44,0.69,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,3.89
J0303.6+4716,3,45.921,47.268,0.032,0.030,23,27.3,2.3,27.3,2.28,PL,T,,1FHL J0303.6+4715,,bll,4C +47.08,Simbad,J0303.6p4716,LC,3.41,0.38,0.82,0.07,1.76,0.17,3.85,0.60,0.90,0.28,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,2.19
J0303.7-6211,2,45.931,-62.184,0.061,0.056,26,16.8,0.9,12.2,2.46,PL,T,,2FGL J0303.5-6209,,fsrq,PKS 0302-623,Simbad,J0303.7-6211,LC,1.94,0.38,0.44,0.05,0.69,0.11,1.38,0.39,0.13,0.12,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,2.00
J0304.3-2836,1,46.081,-28.609,0.078,0.077,0,4.1,0.1,2.0,1.61,PL,,,2FGL J0304.5-2836,,bll,RBS 0385,Simbad,J0304.3-2836,LC,0.16,0.27,0.00,0.03,0.00,0.06,0.67,0.31,0.23,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
J0304.9+6817,1,46.233,68.298,0.077,0.075,16,14.0,0.8,18.8,2.84,PL,,,2FGL J0303.5+6822,,bcu,TXS 0259+681,Simbad,J0304.9p6817,LC,4.76,0.45,0.55,0.09,0.88,0.18,0.93,0.41,0.23,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,1.06
J0305.2-1607,2,46.304,-16.120,0.082,0.067,-39,5.6,0.2,3.0,1.69,PL,,,2FGL J0305.0-1602,,bcu,PKS 0302-16,Simbad,J0305.2-1607,LC,0.00,0.15,0.06,0.04,0.08,0.07,0.63,0.30,0.50,0.25,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88
J0307.3+4916,3,46.843,49.270,0.032,0.029,-44,14.8,1.3,14.4,2.10,PL,,,1FHL J0307.4+4915,,,,Simbad,J0307.3p4916,LC,1.16,0.42,0.27,0.07,1.14,0.17,2.16,0.52,0.95,0.29,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,1.89
J0308.0+7442,2,47.018,74.707,0.039,0.036,-52,25.9,3.0,14.6,2.09,EC,,12,2FGL J0308.3+7442,,PSR,PSR J0307+7443,Simbad,J0308.0p7442,LC,0.11,0.20,0.47,0.05,2.60,0.18,4.05,0.59,0.00,0.12,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,1.56
J0308.4-2852,1,47.103,-28.873,0.212,0.151,-62,4.3,0.2,3.0,2.54,PL,,,,,,,Simbad,J0308.4-2852,LC,0.51,0.36,0.08,0.04,0.15,0.07,0.60,0.32,0.00,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,4.00
J0308.6+0408,1,47.157,4.136,0.074,0.064,84,8.1,0.6,6.6,2.07,PL,,,1FGL J0308.3+0403,,rdg,NGC 1218,Simbad,J0308.6p0408,LC,0.00,0.24,0.25,0.06,0.26,0.11,1.65,0.50,0.44,0.24,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35
J0309.0+1029,2,47.259,10.498,0.036,0.033,7,25.8,2.8,24.8,2.23,LP,T,,1FHL J0309.1+1027,,fsrq,PKS 0306+102,Simbad,J0309.0p1029,LC,2.64,0.37,0.87,0.08,2.34,0.20,4.03,0.70,0.92,0.32,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,1.72
J0309.5-0749,1,47.383,-7.818,0.092,0.079,54,6.6,0.4,4.7,1.94,PL,,,2FGL J0309.3-0743,,bll,NVSS J030943-074427,Simbad,J0309.5-0749,LC,0.12,0.25,0.06,0.05,0.15,0.09,1.83,0.49,0.24,0.21,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,12.20
J0309.9-6057,2,47.478,-60.963,0.047,0.042,-22,26.0,1.5,20.3,2.42,PL,T,,2FGL J0310.0-6058,,fsrq,PKS 0308-611,Simbad,J0309.9-6057,LC,2.76,0.44,0.76,0.06,1.11,0.12,2.51,0.49,0.35,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,2.26
