_3FGL,Na,RAJ2000,DEJ2000,amaj,amin,phi,Sig,F35,S25,Gamma,Mod,Var,Flag,Assoc,TeV,Class,ID,Simbad,File,LC,F1,E_F1,F2,E_F2,F3,E_F3,F4,E_F4,F5,E_F5,Source,TYPE,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,RA_d,DEC_d,SCRIPT_NUMBER_ID,Ang_Sep,Var_1,LL,VHE,SpCl,SEDCl,z,alpha,e_alpha,Var_2,F2_F1,F4_F3
J0000.1+6545,1,0.038,65.752,0.102,0.078,41,6.8,1.0,13.6,2.41,PL,,3,2FGL J2359.6+6543c,,,,Simbad,J0000.1p6545,LC,1.81,0.82,0.69,0.14,1.24,0.23,0.58,0.49,0.28,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.47
J0000.2-3738,1,0.061,-37.648,0.073,0.068,-89,5.1,0.2,2.4,1.87,PL,,,,,,,Simbad,J0000.2-3738,LC,0.01,0.20,0.01,0.03,0.15,0.07,0.75,0.32,0.16,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,5.00
J0001.0+6314,1,0.254,63.244,0.248,0.160,-65,6.2,0.6,13.0,2.73,PL,,"3,4,5",2FGL J2358.9+6325,,spp,,Simbad,J0001.0p6314,LC,2.91,0.74,0.47,0.11,0.30,0.18,1.16,0.48,0.02,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,3.87
J0001.2-0748,2,0.321,-7.816,0.082,0.070,-19,11.3,0.7,7.8,2.15,PL,,,2FGL J0000.9-0748,,bll,PMN J0001-0746,Simbad,J0001.2-0748,LC,0.41,0.26,0.21,0.05,0.52,0.11,2.11,0.51,0.10,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,4.06
J0001.4+2120,1,0.361,21.338,0.211,0.188,-33,11.4,0.3,8.1,2.78,LP,T,,3EG J2359+2041,,fsrq,TXS 2358+209,Simbad,J0001.4p2120,LC,1.52,0.24,0.36,0.05,0.36,0.10,0.00,0.19,0.00,0.11,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.00
J0001.6+3535,1,0.404,35.590,0.213,0.167,8,4.2,0.3,3.4,2.35,PL,,4,,,,,Simbad,J0001.6p3535,LC,0.95,0.27,0.04,0.04,0.17,0.09,0.40,0.31,0.23,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,2.35
J0002.0-6722,1,0.524,-67.370,0.102,0.086,69,5.9,0.3,3.3,1.95,PL,,,,,,,Simbad,J0002.0-6722,LC,0.05,0.28,0.06,0.03,0.20,0.08,0.83,0.32,0.28,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,4.15
J0002.2-4152,2,0.562,-41.883,0.217,0.140,68,5.2,0.3,3.0,2.09,PL,,,2FGL J0001.7-4159,,bcu,1RXS J000135.5-415519,Simbad,J0002.2-4152,LC,0.53,0.22,0.06,0.03,0.09,0.07,0.98,0.36,0.26,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,10.89
J0002.6+6218,1,0.674,62.301,0.061,0.054,-55,18.0,2.8,18.4,2.35,LP,,,2FGL J0002.7+6220,,,,Simbad,J0002.6p6218,LC,1.05,0.40,0.80,0.09,2.44,0.23,3.58,0.69,0.00,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,1.47
J0003.2-5246,1,0.815,-52.777,0.070,0.061,-44,5.7,0.3,3.0,1.90,PL,,,,,bcu,RBS 0006,Simbad,J0003.2-5246,LC,0.66,0.38,0.00,0.03,0.18,0.08,0.79,0.36,0.30,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,4.39
J0003.4+3100,1,0.858,31.008,0.181,0.163,13,6.3,0.3,4.9,2.55,PL,,,,,,,Simbad,J0003.4p3100,LC,0.86,0.27,0.15,0.04,0.36,0.10,0.20,0.26,0.01,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.56
J0003.5+5721,1,0.890,57.360,0.089,0.072,1,5.4,0.5,5.4,2.18,PL,,,,,,,Simbad,J0003.5p5721,LC,0.00,0.31,0.23,0.07,0.49,0.14,0.92,0.41,0.24,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88
J0003.8-1151,1,0.959,-11.863,0.130,0.100,-17,4.2,0.2,2.6,2.02,PL,,,,,bcu,PMN J0004-1148,Simbad,J0003.8-1151,LC,0.01,0.21,0.05,0.04,0.23,0.08,0.47,0.30,0.18,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.04
J0004.2+0843,1,1.057,8.727,0.090,0.086,-67,4.7,0.3,3.0,2.05,PL,,"1,4,5",,,,,Simbad,J0004.2p0843,LC,0.23,0.25,0.03,0.04,0.12,0.09,1.16,0.41,0.08,0.12,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,9.67
J0004.2+6757,1,1.055,67.959,0.101,0.090,-70,6.0,0.8,12.0,2.50,PL,,,,,,,Simbad,J0004.2p6757,LC,0.59,1.16,0.56,0.13,0.59,0.19,1.15,0.47,0.09,0.11,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,1.95
J0004.7-4740,2,1.181,-47.671,0.090,0.078,-41,14.5,0.7,9.2,2.40,PL,T,,2FGL J0004.7-4736,,fsrq,PKS 0002-478,Simbad,J0004.7-4740,LC,1.11,0.29,0.34,0.04,0.60,0.10,1.34,0.40,0.00,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,2.23
J0006.2+0135,1,1.572,1.585,0.098,0.075,58,5.5,0.3,3.4,2.19,PL,,,,,,,Simbad,J0006.2p0135,LC,0.33,0.26,0.08,0.04,0.22,0.09,0.48,0.30,0.21,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,2.18
J0006.4+3825,2,1.612,38.418,0.225,0.142,32,10.5,0.6,10.4,2.62,PL,T,,2FGL J0006.1+3821,,fsrq,S4 0003+38,Simbad,J0006.4p3825,LC,2.22,0.40,0.35,0.06,0.58,0.12,0.36,0.31,0.08,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.62
J0006.6+4618,1,1.651,46.305,0.142,0.115,-79,4.6,0.3,4.2,2.42,PL,,,,,,,Simbad,J0006.6p4618,LC,1.80,0.51,0.13,0.06,0.19,0.10,0.31,0.26,0.34,0.21,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,1.63
J0007.0+7302,6,1.766,73.050,0.007,0.007,-67,288.7,64.9,425.6,1.88,EC,,,1FHL J0007.3+7303,E,PSR,LAT PSR J0007+7303,Simbad,J0007.0p7302,LC,16.70,0.38,11.17,0.12,48.12,0.57,153.00,2.88,14.47,0.88,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,3.18
J0007.4+1742,1,1.869,17.711,0.214,0.169,-19,4.6,0.3,3.4,2.31,PL,,,,,,,Simbad,J0007.4p1742,LC,0.40,0.31,0.10,0.04,0.22,0.09,0.43,0.29,0.16,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1.95
J0007.9+4006,1,1.983,40.107,0.149,0.119,-80,4.5,0.3,3.6,2.28,PL,,,,,,,Simbad,J0007.9p4006,LC,0.22,0.30,0.13,0.05,0.16,0.09,0.60,0.33,0.15,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,3.75
J0008.0+4713,2,2.017,47.228,0.033,0.030,-13,24.7,2.0,21.9,2.02,PL,,,1FHL J0007.7+4709,,bll,MG4 J000800+4712,Simbad,J0008.0p4713,LC,0.57,0.44,0.44,0.06,1.40,0.15,5.75,0.71,1.29,0.35,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,4.11
J0008.3+1456,1,2.088,14.934,0.143,0.124,60,6.5,0.4,4.9,2.27,PL,,,1FGL J0008.3+1452,,,,Simbad,J0008.3p1456,LC,0.38,0.28,0.13,0.05,0.38,0.10,0.75,0.37,0.15,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,1.97
J0008.5+6853,2,2.141,68.887,0.493,0.454,-79,8.4,1.0,8.8,2.46,LP,,"1,3,9",2FGL J0007.7+6825c,,,,Simbad,J0008.5p6853,LC,0.57,0.33,0.42,0.09,0.93,0.20,0.28,0.43,0.00,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.30
J0008.6-2340,2,2.174,-23.672,0.074,0.066,-61,6.7,0.2,3.5,1.60,PL,,,1FHL J0008.7-2340,,bll,RBS 0016,Simbad,J0008.6-2340,LC,0.00,0.16,0.00,0.03,0.20,0.08,0.30,0.25,0.72,0.28,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50
J0008.7+6558,1,2.191,65.968,0.119,0.097,28,8.7,0.7,13.2,2.46,LP,,"4,12",2FGL J0010.5+6556c,,,,Simbad,J0008.7p6558,LC,1.68,0.42,0.74,0.13,0.52,0.23,1.20,0.53,0.13,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,2.31
J0009.1+0630,2,2.295,6.505,0.068,0.054,-46,9.0,0.5,6.2,2.18,PL,,,2FGL J0009.0+0632,,bll,CRATES J000903.95+062821.5,Simbad,J0009.1p0630,LC,0.50,0.30,0.16,0.05,0.40,0.11,1.19,0.40,0.38,0.23,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,2.98
J0009.3+5030,3,2.334,50.510,0.020,0.019,18,36.5,3.1,35.4,1.93,PL,T,,1FHL J0009.2+5032,,bll,NVSS J000922+503028,Simbad,J0009.3p5030,LC,1.92,0.27,0.59,0.05,2.11,0.16,8.98,0.82,2.51,0.44,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,4.26
J0009.6-3211,1,2.402,-32.199,0.146,0.136,19,5.5,0.3,3.4,2.31,PL,,1,2FGL J0009.9-3206,,bcu,IC 1531,Simbad,J0009.6-3211,LC,0.41,0.22,0.10,0.04,0.24,0.08,0.42,0.26,0.09,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,1.75
J0010.5-1425,1,2.629,-14.420,0.215,0.150,89,4.3,0.2,3.0,2.31,PL,,,,,,,Simbad,J0010.5-1425,LC,0.00,0.21,0.15,0.04,0.28,0.09,0.36,0.28,0.00,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29
J0012.4+7040,1,3.110,70.672,0.119,0.092,-58,4.5,0.4,6.3,2.48,PL,,4,,,bcu,TXS 0008+704,Simbad,J0012.4p7040,LC,1.12,0.53,0.28,0.08,0.20,0.15,0.55,0.37,0.21,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2.75
J0013.2-3954,2,3.304,-39.908,0.058,0.051,31,12.0,0.6,7.0,2.21,PL,,,2FGL J0012.9-3954,,bll,PKS 0010-401,Simbad,J0013.2-3954,LC,0.67,0.22,0.19,0.04,0.43,0.09,1.12,0.37,0.54,0.24,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,2.60
J0013.9-1853,1,3.476,-18.897,0.062,0.059,56,5.6,0.2,2.7,1.94,PL,,,,P,bll,RBS 0030,Simbad,J0013.9-1853,LC,0.00,0.17,0.01,0.03,0.22,0.08,0.91,0.34,0.08,0.11,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14
J0014.0-5025,1,3.515,-50.429,0.086,0.073,-38,5.7,0.2,2.8,1.92,PL,,,1FGL J0013.7-5022,,bll,RBS 0032,Simbad,J0014.0-5025,LC,0.28,0.25,0.04,0.03,0.24,0.08,0.54,0.29,0.20,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,2.25
J0014.3-0455,1,3.586,-4.920,0.127,0.108,-59,6.3,0.4,6.5,2.50,PL,,5,,,,,Simbad,J0014.3-0455,LC,1.05,0.56,0.27,0.06,0.25,0.10,0.81,0.39,0.13,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,3.24
J0014.6+6119,1,3.659,61.318,0.065,0.057,20,7.4,0.7,7.8,1.89,PL,,,,,bcu,4C +60.01,Simbad,J0014.6p6119,LC,0.00,0.43,0.05,0.08,0.39,0.17,2.20,0.59,0.82,0.27,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64
J0014.7+5802,1,3.683,58.042,0.058,0.052,-72,5.5,0.4,4.3,1.91,PL,,,,,bll,1RXS J001442.2+580201,Simbad,J0014.7p5802,LC,0.00,0.30,0.00,0.06,0.32,0.14,0.96,0.41,0.29,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00
J0015.7+5552,1,3.941,55.875,0.045,0.042,-79,6.4,0.4,5.0,2.11,PL,,,,,bcu,GB6 J0015+5551,Simbad,J0015.7p5552,LC,0.74,0.31,0.18,0.06,0.30,0.13,0.80,0.40,0.21,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,2.67
J0016.3-0013,1,4.078,-0.230,0.110,0.104,42,13.6,0.6,11.0,2.62,PL,T,,2FGL J0017.4-0018,,fsrq,S3 0013-00,Simbad,J0016.3-0013,LC,1.91,0.31,0.45,0.05,0.52,0.11,0.25,0.28,0.12,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.48
J0016.5+1713,1,4.135,17.221,0.216,0.178,80,4.1,0.2,3.3,2.44,PL,,,1FGL J0016.6+1706,,,,Simbad,J0016.5p1713,LC,0.42,0.30,0.12,0.05,0.25,0.09,0.11,0.23,0.05,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.44
J0017.1+1445,1,4.294,14.761,0.085,0.080,88,4.8,0.2,2.9,1.88,PL,,,,,,,Simbad,J0017.1p1445,LC,0.00,0.15,0.05,0.04,0.22,0.09,0.28,0.26,0.31,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27
J0017.2-0643,1,4.305,-6.724,0.126,0.103,68,6.2,0.4,4.3,2.12,PL,,,,,bcu,PMN J0017-0650,Simbad,J0017.2-0643,LC,0.06,0.31,0.06,0.04,0.44,0.10,0.81,0.36,0.10,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.84
J0017.6-0512,3,4.405,-5.205,0.071,0.066,8,12.0,0.8,11.8,2.51,PL,T,,2FGL J0017.6-0510,,FSRQ,PMN J0017-0512,Simbad,J0017.6-0512,LC,2.00,0.63,0.42,0.07,0.70,0.12,0.72,0.35,0.24,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,1.03
J0018.4+2947,3,4.603,29.794,0.083,0.074,68,5.0,0.2,2.5,1.86,PL,,,1FHL J0018.6+2946,,bll,RBS 0042,Simbad,J0018.4p2947,LC,0.01,0.18,0.08,0.04,0.07,0.07,0.52,0.28,0.37,0.21,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,7.43
J0018.9-8152,1,4.745,-81.877,0.058,0.049,-11,10.7,0.7,7.3,2.08,PL,T,,2FGL J0018.8-8154,,bll,PMN J0019-8152,Simbad,J0018.9-8152,LC,0.95,0.31,0.19,0.05,0.40,0.11,1.27,0.39,0.72,0.26,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,3.17
J0019.1-5645,1,4.797,-56.751,0.117,0.100,19,6.8,0.3,3.7,2.39,PL,,,2FGL J0019.4-5645,,bcu,PMN J0019-5641,Simbad,J0019.1-5645,LC,0.99,0.25,0.06,0.04,0.22,0.07,0.54,0.28,0.31,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,2.45
J0019.4+2021,1,4.862,20.366,0.166,0.105,82,5.0,0.3,3.5,2.25,PL,,,1FGL J0019.3+2017,,bll,PKS 0017+200,Simbad,J0019.4p2021,LC,0.07,0.28,0.16,0.05,0.12,0.08,0.49,0.27,0.15,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,4.08
J0020.9+0323,1,5.231,3.395,0.058,0.055,-27,5.7,0.2,3.0,1.64,PL,,,,,,,Simbad,J0020.9p0323,LC,0.00,0.26,0.00,0.02,0.13,0.08,0.88,0.36,0.31,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77
J0021.6-2553,2,5.415,-25.887,0.057,0.049,15,11.6,0.6,6.6,2.10,PL,,9,2FGL J0021.6-2551,,bll,CRATES J002132.55-255049.3,Simbad,J0021.6-2553,LC,0.62,0.22,0.12,0.04,0.44,0.09,1.69,0.45,0.42,0.22,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,3.84
J0021.6-6835,1,5.409,-68.592,0.478,0.185,47,5.4,0.2,3.8,2.65,PL,,,,,bcu,PKS 0021-686,Simbad,J0021.6-6835,LC,0.70,0.29,0.15,0.04,0.19,0.08,0.27,0.24,0.00,0.10,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,1.42
J0022.1-1855,3,5.536,-18.923,0.033,0.031,62,16.7,0.9,11.1,1.80,PL,,,1FHL J0022.2-1853,,bll,1RXS J002209.2-185333,Simbad,J0022.1-1855,LC,0.00,0.20,0.13,0.04,0.60,0.11,3.51,0.59,0.68,0.27,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85
J0022.1-5141,1,5.548,-51.691,0.050,0.045,-76,13.7,0.7,7.9,1.99,PL,,,2FGL J0022.3-5141,,bll,1RXS J002159.2-514028,Simbad,J0022.1-5141,LC,0.08,0.22,0.15,0.04,0.64,0.10,1.14,0.37,0.68,0.26,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.78
J0022.5+0608,3,5.643,6.138,0.038,0.034,-82,28.2,2.2,24.0,2.07,PL,T,,1FHL J0022.5+0607,,bll,PKS 0019+058,Simbad,J0022.5p0608,LC,1.36,0.34,0.60,0.06,1.58,0.15,5.08,0.71,1.24,0.38,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,3.22
J0022.7+4651,1,5.687,46.853,0.239,0.188,63,4.2,0.2,4.2,2.78,PL,,,,,,,Simbad,J0022.7p4651,LC,1.12,0.35,0.09,0.05,0.26,0.10,0.38,0.28,0.00,0.11,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,1.46
J0023.4+0923,2,5.865,9.389,0.085,0.079,-87,13.3,1.1,7.3,2.28,EC,,,2FGL J0023.5+0924,,PSR,PSR J0023+0923,Simbad,J0023.4p0923,LC,0.32,0.25,0.37,0.05,0.96,0.14,0.50,0.30,0.08,0.19,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,0.52
J0023.5+4454,2,5.878,44.905,0.138,0.109,-87,9.0,0.5,7.4,2.57,PL,,,2FGL J0023.2+4454,,fsrq,B3 0020+446,Simbad,J0023.5p4454,LC,1.54,0.33,0.22,0.05,0.42,0.10,0.54,0.32,0.10,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,1.29
J0023.9-7203,3,5.982,-72.065,0.027,0.027,-36,46.4,4.1,26.1,2.09,LP,,,2FGL J0023.9-7204,,glc,47 Tuc,Simbad,J0023.9-7203,LC,1.09,0.22,0.93,0.05,3.65,0.19,6.28,0.72,0.19,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,1.72
J0024.4+0350,2,6.110,3.843,0.126,0.105,33,5.7,0.4,4.7,2.28,PL,T,,2FGL J0024.5+0346,,fsrq,GB6 J0024+0349,Simbad,J0024.4p0350,LC,0.64,0.34,0.20,0.05,0.34,0.10,0.50,0.32,0.10,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,1.47
J0025.7+6404,1,6.433,64.069,0.141,0.097,-57,4.4,0.6,6.3,2.09,PL,,,,P,snr,Tycho,Simbad,J0025.7p6404,LC,0.02,0.50,0.32,0.10,0.45,0.20,0.83,0.50,0.59,0.27,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,1.84
J0026.2-4812,1,6.557,-48.210,0.176,0.109,-68,6.0,0.3,3.6,2.19,PL,,,,,,,Simbad,J0026.2-4812,LC,0.19,0.21,0.08,0.03,0.29,0.08,0.60,0.31,0.18,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,2.07
J0026.7-4603,1,6.685,-46.060,0.165,0.108,7,5.1,0.2,2.9,2.45,PL,,1,,,bll,1RXS J002636.3-460101,Simbad,J0026.7-4603,LC,0.42,0.25,0.11,0.04,0.12,0.06,0.43,0.26,0.06,0.10,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,3.58
J0028.6+7507,1,7.161,75.119,0.091,0.074,88,7.3,0.5,6.8,2.34,PL,,,,,bcu,GB6 J0028+7506,Simbad,J0028.6p7507,LC,1.06,0.33,0.19,0.06,0.45,0.13,1.74,0.43,0.03,0.14,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,3.87
J0028.8+1951,1,7.201,19.851,0.207,0.122,2,6.3,0.4,5.2,2.43,PL,,9,,,bcu,TXS 0025+197,Simbad,J0028.8p1951,LC,0.80,0.29,0.14,0.05,0.44,0.11,0.09,0.29,0.10,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.20
J0029.1-7045,1,7.296,-70.756,0.064,0.057,58,12.1,0.7,8.0,2.28,PL,T,,2FGL J0029.2-7043,,bll,PKS 0026-710,Simbad,J0029.1-7045,LC,1.25,0.35,0.17,0.04,0.51,0.10,1.70,0.42,0.27,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,3.33
J0030.2-1646,1,7.566,-16.775,0.043,0.040,4,9.2,0.3,4.8,1.65,PL,,,1FHL J0030.1-1647,,bcu,1RXS J003019.6-164723,Simbad,J0030.2-1646,LC,0.00,0.18,0.00,0.03,0.25,0.08,1.15,0.39,0.48,0.23,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60
J0030.3-4223,2,7.589,-42.395,0.053,0.052,62,28.8,1.2,19.8,2.58,PL,T,,2FGL J0030.2-4223,,fsrq,PKS 0027-426,Simbad,J0030.3-4223,LC,3.62,0.27,0.68,0.05,1.14,0.13,1.27,0.39,0.18,0.16,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,1.11
J0030.4+0451,3,7.616,4.866,0.021,0.020,41,80.8,9.8,60.7,2.04,EC,,,2FGL J0030.4+0450,,PSR,PSR J0030+0451,Simbad,J0030.4p0451,LC,2.99,0.31,2.28,0.08,8.23,0.29,13.29,1.05,0.40,0.21,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,1.61
J0030.7-0209,1,7.698,-2.157,0.071,0.069,-75,15.0,0.9,11.3,2.38,PL,T,,,,bcu,PKS B0027-024,Simbad,J0030.7-0209,LC,1.46,0.30,0.39,0.05,0.74,0.12,1.33,0.42,0.00,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,1.80
J0031.2-2320,1,7.813,-23.343,0.180,0.142,-65,4.2,0.2,2.7,2.14,PL,,,,,,,Simbad,J0031.2-2320,LC,0.00,0.21,0.06,0.04,0.23,0.08,0.62,0.30,0.00,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70
J0031.3+0724,1,7.830,7.415,0.079,0.065,-52,5.1,0.2,2.7,1.82,PL,,,2FGL J0031.0+0724,,bcu,NVSS J003119+072456,Simbad,J0031.3p0724,LC,0.08,0.29,0.00,0.04,0.22,0.09,0.30,0.26,0.44,0.24,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.36
J0031.6+0938,1,7.923,9.648,0.094,0.090,-61,5.1,0.2,4.3,2.66,PL,,,,,,,Simbad,J0031.6p0938,LC,0.59,0.38,0.17,0.05,0.10,0.08,0.28,0.26,0.20,0.17,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,2.80
J0032.3-2852,1,8.090,-28.877,0.078,0.073,-87,4.9,0.2,2.6,2.19,PL,,,,,bll,PMN J0032-2849,Simbad,J0032.3-2852,LC,0.16,0.19,0.08,0.04,0.14,0.07,0.42,0.28,0.18,0.15,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,3.00
J0032.3-5522,2,8.094,-55.369,0.055,0.047,16,18.1,0.9,11.1,2.27,PL,T,,2FGL J0032.7-5521,,,,Simbad,J0032.3-5522,LC,0.83,0.26,0.38,0.04,0.73,0.11,1.52,0.40,0.35,0.20,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,2.08
J0032.5+3912,1,8.146,39.213,0.088,0.083,-62,5.0,0.2,3.8,2.56,PL,,,,,,,Simbad,J0032.5p3912,LC,1.34,0.29,0.06,0.04,0.14,0.08,0.43,0.26,0.14,0.13,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,3.07
J0033.6-1921,4,8.402,-19.364,0.019,0.019,-73,39.2,2.8,37.0,1.71,PL,,,1FHL J0033.6-1921,P,bll,KUV 00311-1938,Simbad,J0033.6-1921,LC,0.92,0.20,0.32,0.04,1.69,0.15,8.87,0.86,4.19,0.61,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,5.25
J0034.3-0534,2,8.590,-5.582,0.045,0.042,70,28.9,2.4,18.0,2.21,EC,,,2FGL J0034.4-0534,,PSR,PSR J0034-0534,Simbad,J0034.3-0534,LC,1.59,0.27,0.69,0.05,1.95,0.17,3.51,0.62,0.08,0.11,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,1.80
J0035.2+1513,3,8.809,15.222,0.043,0.038,-79,14.0,0.8,10.2,1.81,PL,,,1FHL J0035.2+1514,,bll,RX J0035.2+1515,Simbad,J0035.2p1513,LC,0.34,0.26,0.08,0.04,0.57,0.11,2.40,0.52,1.16,0.36,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,4.21
J0035.9+5949,4,8.989,59.832,0.018,0.017,-67,27.5,2.7,30.9,1.90,PL,,,1FHL J0035.9+5950,P,bll,1ES 0033+595,Simbad,J0035.9p5949,LC,1.23,0.38,0.66,0.08,1.39,0.18,6.79,0.79,3.10,0.46,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,4.88
J0037.9+1239,3,9.477,12.652,0.045,0.042,-25,13.3,0.9,10.2,2.15,PL,,,1FHL J0037.8+1238,,bll,NVSS J003750+123818,Simbad,J0037.9p1239,LC,1.04,0.34,0.29,0.05,0.56,0.12,2.03,0.49,0.51,0.25,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,3.62
J0038.0+0012,1,9.523,0.209,0.089,0.071,64,7.5,0.4,4.7,2.16,PL,,,2FGL J0038.1+0015,,bll,NVSS J003808+001336,Simbad,J0038.0p0012,LC,0.29,0.26,0.14,0.04,0.23,0.09,1.13,0.41,0.23,0.18,FGL3,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,4.91
